Market Store Name,Carrier - Service Selected,Market - Store Name,Order - Number,Ship To - Country,Ship To - Postal Code,Shipment - Weight (Oz),Shipment - Zone,Sum - Total of Line Item Quantity,Shipping Paid,Tracking Number,Length,Width,Height,Insurance,Dim Weight Applied,Dim Weight,Billable Weight oz,Rounded Oz,Shipping Rate,Peak Surcharges,Date - Shipped Date
Halftee,DHL SM Parcel Expedited,Halftee,HT189858,US,68135-2667,3.6,5,3,6.97,420681359361211015300887434916,10,13,1,,Yes,13,13,4,7.02,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189828,US,70452-4774,4.2,6,1,0,420704529361211015300886875604,10,13,1,,Yes,13,13,5,7.27,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189698,US,70546-3315,4.2,6,1,6.97,420705469361211015300884815787,10,13,1,,Yes,13,13,5,7.27,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189707,US,70785-5700,8.8,6,1,6.97,420707859361211015300884604213,10,13,1,,Yes,13,13,9,7.27,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189660,US,71860-8812,9.2,6,2,6.97,420718609361211015300884687117,10,13,1,,Yes,13,13,10,7.27,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189695,US,71901-8290,5.9,6,1,6.97,420719019361211015300884815916,10,13,1,,Yes,13,13,6,7.27,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189735,US,74074-2398,10.6,5,3,6.97,420740749361211015300886855798,10,13,1,,Yes,13,13,11,7.02,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189817,US,74337-6327,27,5,6,1.98,420743379361211015300886786788,10,13,1,,Yes,13,32,32,10.07,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189745,US,75083-1092,10.3,5,2,6.99,420750839361211015300884815688,7,7,6,,Yes,32,32,11,10.07,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189753,US,78671-2205,6.8,5,1,6.97,420786719361211015300884815817,10,13,1,,Yes,13,13,7,7.02,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189726,US,78746-6107,0.6,6,1,6.97,420787469361211015300884682952,10,13,1,,Yes,13,13,1,7.27,0,2025-10-06
Halftee,DHL SM Parcel Expedited Max,Halftee,HT189815,US,80516-8960,4.7,3,1,21.97,420805169361211015300886063544,9,11,1,,Yes,10,10,5,5.19,0,2025-10-08
Halftee,DHL SM Parcel Expedited,Halftee,HT189883,US,82009-4281,6,4,1,6.97,420820099361211015300887581658,10,13,1,,Yes,13,13,6,6.85,0,2025-10-10
Halftee,USPS Ground Advantage,Halftee,HT189691,US,82801-9670,3,4,1,6.97,9400150105501193055457,10,13,1,0,No,13,3,3,4.23,0,2025-10-06
Halftee,USPS Ground Advantage,Halftee,HT189818,US,83274-5063,2.4,4,3,1.98,9400150206217319157537,10,13,1,0,No,13,3,3,4.23,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189740,US,83651-5223,5.4,4,1,6.97,420836519361211015300884564777,10,13,1,,Yes,13,13,6,6.85,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189729,US,84057-3713,13.8,1,3,0,420840579361211015300884687339,10,13,1,,Yes,13,14,14,6.6,0,2025-10-06
Halftee,USPS Ground Advantage,Halftee,HT189725,US,84054-5032,3.9,1,1,6.97,9400150206217313750918,10,13,1,0,No,13,4,4,4.05,0,2025-10-06
Halftee,USPS Ground Advantage,Halftee,HT189838,US,84003-8900,6.9,1,3,1.98,9400150206217320814269,10,13,1,0,No,13,7,7,4.5,0,2025-10-10
Halftee,USPS Ground Advantage,Halftee,HT189884,US,84037-4900,2.4,1,1,6.97,9400150105501199927543,10,13,1,0,No,13,3,3,4.05,0,2025-10-10
Halftee,USPS Ground Advantage,Halftee,HT189708,US,84062-3870,3.3,1,1,6.97,9400150206217313742111,10,13,1,0,No,13,4,4,4.05,0,2025-10-06
Halftee,UPSÂ® Ground,Halftee,HT189832,US,84048-5530,27.5,1,5,0,1ZH594030335622856,10,13,1,0,Yes,13,32,32,8.92,0,2025-10-09
Halftee,USPS Ground Advantage,Halftee,HT189819,US,84074-2249,3.9,1,1,6.97,9400150206217319157964,10,13,1,0,No,13,4,4,4.05,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189835,US,60647-0226,1.2,6,1,6.97,420606479361211015300886870975,10,13,1,,Yes,13,13,2,7.27,0,2025-10-09
Halftee,DHL SM Parcel Expedited,Halftee,HT189830,US,60647-4336,3.8,6,1,6.97,420606479361211015300886826576,10,13,1,,Yes,13,13,4,7.27,0,2025-10-09
Halftee,USPS Ground Advantage,Halftee,106102,US,46845-1862,99.5,6,0,0,9434650206217096519230,18,12,5,0,No,112,112,112,23.8,0,2025-10-09
Halftee,UPSÂ® Ground,Halftee,NCY3CXS6AD,US,47421-6422,224.9,6,45,0,1ZH594030322301431,23,15,7,0,Yes,240,240,240,41.81,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,HT189889,US,98237-7722,2.3,5,1,6.97,420982379361211015300887518159,10,13,1,,Yes,13,13,3,7.02,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189882,US,98374-8836,18.9,5,1,4.99,420983749361211015300887503155,16,14,1,,Yes,32,32,32,10.07,0,2025-10-10
Halftee,UPSÂ® Ground,Halftee,106108,US,98375-2342,19.1,5,0,0,1ZH594030308396821,10,13,1,0,Yes,13,32,32,10.07,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,111-4012796-2213858,US,99301-6849,4.2,4,1,0,420993019361211015300884683010,10,13,1,,Yes,13,13,5,6.85,0,2025-10-06
Halftee,USPS Ground Advantage,Halftee,HT189848,US,99504-3377,9,8,3,1.98,9400150206217320814436,10,13,1,0,No,13,9,9,6.02,0,2025-10-10
Halftee,DHL SM Parcel Expedited,Halftee,HT189658,US,11542-3451,7.5,8,2,6.97,420115429361211015300884825359,10,13,1,,Yes,13,13,8,7.65,0,2025-10-06
Halftee,DHL SM Parcel Expedited,Halftee,114-6791743-7011401,US,29910-7832,4,7,1,0,420299109361211015300884840017,10,13,1,,Yes,13,13,4,7.45,0,2025-10-06
